relationship_rank,relationship,target,predictor,lag,province,n_samples,control_mode,spearman_corr,kendall_tau,distance_corr,mutual_info,abs_spearman
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Thanh Hóa,264,month,0.5413561739358859,0.3953475759676758,0.46695065456877305,0.38476325078516327,0.5413561739358859
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Thái Bình,264,month,0.550409879472472,0.3953091729212729,0.4762196844993128,0.3925672558074953,0.550409879472472
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Thái Nguyên,264,month,0.40841791729317883,0.2918042055753082,0.45983747562755334,0.2871708596989664,0.40841791729317883
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Tiền Giang,264,month,0.7062490165792182,0.5353491066048411,0.703770810633911,0.45658867218179466,0.7062490165792182
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Trà Vinh,264,month,0.6290986794009846,0.48224211844785453,0.6570546956546187,0.4455917768613338,0.6290986794009846
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Tuyên Quang,264,month,0.38390793123042705,0.27819955922060186,0.6909344023828238,0.30542845903425153,0.38390793123042705
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Tây Ninh,264,month,0.6289613713052888,0.4498840208509101,0.5817551155764495,0.40326836127802457,0.6289613713052888
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Vĩnh Phúc,264,month,0.5708529217178283,0.42991365589411845,0.5966266183807472,0.4741982888056069,0.5708529217178283
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Yên Bái,264,month,0.5609042032753419,0.4143920779796693,0.5828354797527345,0.41269172022323986,0.5609042032753419
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Điện Biên,264,month,0.8623564005630209,0.7296761675190878,0.9009934620449204,1.0995566368620935,0.8623564005630209
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Đà Nẵng,264,month,0.5012812729665619,0.3534386955756012,0.8008205299685692,0.4121118205064169,0.5012812729665619
