province,column,n_unique,std
squeezed_BR Vũng Tàu,Max_Absolute_Temperature,54,1.226011323325338
squeezed_Bình Phước,Max_Absolute_Temperature,54,1.4929989952342337
squeezed_BR Vũng Tàu,Min_Average_Temperature,55,1.1182566878728923
squeezed_An Giang,Average_temperature,55,1.1830398090736745
squeezed_An Giang,Min_Average_Temperature,55,1.2493852942174384
squeezed_Kiên Giang,Max_Absolute_Temperature,55,1.2727777767757331
squeezed_Kiên Giang,Min_Absolute_Temperature,55,1.4678439876983596
squeezed_Hà Nội,Average_Humidity,55,4.061146056548964
squeezed_Trà Vinh,Min_Average_Temperature,56,0.9464248456459081
squeezed_Sóc Trăng,Max_Average_Temperature,56,1.2049384126513805
squeezed_Bình Định,n_raining_days,56,7.694715420526776
squeezed_Trà Vinh,Max_Absolute_Temperature,57,1.208074625577488
squeezed_Sóc Trăng,Max_Absolute_Temperature,57,1.2528337370096367
squeezed_Đắk Nông,Average_temperature,57,1.254967174031717
squeezed_Long An,Max_Absolute_Temperature,57,1.4009194065522577
squeezed_An Giang,Max_Absolute_Temperature,57,1.4358025371268275
squeezed_Hà Giang,Average_Humidity,57,3.8358030366472566
squeezed_Gia Lai,n_raining_days,57,9.183232081543983
squeezed_Long An,Average_temperature,58,1.0137243658841293
squeezed_Kiên Giang,Max_Average_Temperature,58,1.2226948265568514
squeezed_Cà Mau,Max_Average_Temperature,58,1.2277551778062008
squeezed_Kiên Giang,Min_Average_Temperature,58,1.2566544064662697
squeezed_Cần Thơ,Max_Average_Temperature,58,1.2858923517411167
squeezed_Tiền Giang,Max_Absolute_Temperature,58,1.2935975969687712
squeezed_BR Vũng Tàu,Min_Absolute_Temperature,58,1.3662634101529856
squeezed_Đồng Tháp,Max_Absolute_Temperature,59,1.3467035817840847
squeezed_An Giang,Max_Average_Temperature,59,1.3982665051653786
squeezed_Trà Vinh,Min_Absolute_Temperature,59,1.451548166575883
squeezed_Đắk Nông,Average_Humidity,59,4.665563311467137
squeezed_Trà Vinh,Average_temperature,60,0.9240036173960862
squeezed_Cần Thơ,Min_Absolute_Temperature,60,1.4216315830401183
squeezed_Quảng Nam,Average_Humidity,60,4.070664464556102
squeezed_Đồng Tháp,Average_temperature,61,1.0535592165972436
squeezed_Tiền Giang,Average_temperature,61,1.0596168630219756
squeezed_Bạc Liêu,Max_Average_Temperature,61,1.3337327225522404
squeezed_Cần Thơ,Influenza_rates,61,1.3409577622187943
squeezed_Ninh Thuận,Min_Average_Temperature,61,1.411031115775902
squeezed_Đắk Lắk,Min_Average_Temperature,61,1.484422818933979
squeezed_Lâm Đồng,n_raining_days,61,9.819553768891748
squeezed_Lào Cai,Min_Humidity,61,14.079723790458768
squeezed_Đồng Tháp,Min_Average_Temperature,62,1.1657077024525937
squeezed_Quảng Nam,Min_Humidity,62,7.583968088652336
squeezed_Bình Phước,Min_Average_Temperature,63,1.4299554481844776
squeezed_Bạc Liêu,Min_Absolute_Temperature,63,1.548241276505533
squeezed_Lào Cai,Average_Humidity,63,5.1153720010103285
squeezed_Hà Nội,n_raining_days,63,6.461955795602124
